Date,Open,High,Low,Close,Volume,Change,MA3,MA5
2024-01-02,139700,142800,139700,142400,2147458,0.006360424028268641,,
2024-01-03,140000,140800,136800,136800,3257820,-0.0393258426966292,,
2024-01-04,136800,138800,135800,136400,2661970,-0.0029239766081871066,138533.33333333334,
2024-01-05,135800,137500,135800,137500,1846781,0.008064516129032251,136900.0,
2024-01-08,137500,137900,135400,136000,2498302,-0.010909090909090868,136633.33333333334,137820.0
2024-01-09,139000,139500,136600,137400,3473806,0.010294117647058787,136966.66666666666,136820.0
2024-01-10,137700,138100,132100,133500,3769252,-0.028384279475982543,135633.33333333334,136160.0
2024-01-11,132400,137100,132400,136000,3594909,0.01872659176029967,135633.33333333334,136080.0
2024-01-12,136400,137300,133400,134100,1878915,-0.013970588235294068,134533.33333333334,135400.0
2024-01-15,134800,135100,133300,134100,1858867,0.0,134733.33333333334,135020.0
2024-01-16,132600,133700,131100,132100,3670169,-0.014914243102162605,133433.33333333334,133960.0
2024-01-17,133800,134500,129000,131000,3822702,-0.00832702498107496,132400.0,133460.0
2024-01-18,131500,136800,130600,136200,3050556,0.03969465648854964,133100.0,133500.0
2024-01-19,138700,141300,137400,141300,4946040,0.037444933920704804,136166.66666666666,134940.0
2024-01-22,145200,145400,142300,142600,3784276,0.009200283085633476,140033.33333333334,136640.0
2024-01-23,142300,142800,138300,140800,2912611,-0.012622720897615736,141566.66666666666,138380.0
2024-01-24,140000,141700,137600,141500,2580665,0.004971590909090828,141633.33333333334,140480.0
2024-01-25,142700,143700,136900,137400,4708651,-0.028975265017667895,139900.0,140720.0
2024-01-26,136200,138600,136000,136000,3247410,-0.010189228529839833,138300.0,139660.0
2024-01-29,135500,137000,135000,135000,2311854,-0.007352941176470562,136133.33333333334,138140.0
2024-01-30,135300,137800,134400,136900,2297631,0.014074074074074128,135966.66666666666,137360.0
2024-01-31,134800,136600,133600,134700,2815362,-0.01607012417823228,135533.33333333334,136000.0
2024-02-01,133100,135600,131700,132700,3778274,-0.014847809948032697,134766.66666666666,135060.0
